n0,n2,values,amplitudes
(1+0j),0j,"[0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79558318,0.79557963,0.79557963,0.79557963,0.79557963,0.79557963,0.79557963,0.79557963,0.79557963,0.79557963,0.79557963,0.79567185,0.79567307,0.79567307,0.79567307,0.79567307,0.79567307,0.79567307,0.79576531,0.7957713 ,0.7957713 ,0.7957713 ,0.7957713 ,0.7957713 ,0.79586354,0.79586354,0.7958743 ,0.7958743 ,0.7958743 ,0.7958743 ,0.79596656,0.79596656,0.79598208,0.79598208,0.79598208,0.79607435,0.79607435,0.79609464,0.79609464,0.79609464,0.79618692,0.79618692,0.79621197,0.79621197,0.79621197,0.79630426,0.79630426,0.79633406,0.79633406,0.79633406,0.79642638,0.79642638,0.79646093,0.79646093,0.79655326,0.79655326,0.79659256,0.79660276,0.79661951,0.79664104,0.79675289,0.79678399,0.79681988,0.79677501,0.79686055,0.796906  ,0.79695624,0.79695624,0.79701125,0.79701125,0.79707105,0.79713562,0.79713562,0.79720497,0.79720497,0.7972791 ,0.7972791 ,0.797358  ,0.797358  ,0.79744167,0.79744167,0.79744167,0.79753012,0.79753012,0.79762334,0.79762334,0.79772132,0.79772132,0.7978138 ,0.79782408,0.79791656,0.79793159,0.79793159,0.79802409,0.79804387,0.79813639,0.79816092,0.79816092,0.79825344,0.79828272,0.79837526,0.79840927,0.79840927,0.79850183,0.79854318,0.79857182,0.79870529,0.79868637,0.79876503,0.79885803,0.79890814,0.79896303,0.79902267,0.79902267,0.79908709,0.79915627,0.79923022,0.79923022,0.79930893,0.7993924 ,0.7993924 ,0.79948063,0.79957362,0.79957362,0.79967136,0.79976406,0.79977386,0.79988112,0.79988112,0.79999313,0.79999313,0.80010988,0.80020263,0.80023139,0.80032415,0.80035764,0.80045042,0.80048863,0.80052413,0.8006577 ,0.80072436,0.8007241 ,0.80081629,0.8009148 ,0.80097431,0.80103856,0.80110758,0.80118134,0.80125986,0.80134313,0.80134313,0.80143114,0.80152391,0.80162142,0.80162142,0.80172367,0.80183066,0.80183066,0.8019424 ,0.80203536,0.80205887,0.80218008,0.80227307,0.80230602,0.80239903,0.80245982,0.80252394,0.80267661,0.8027621 ,0.80281197,0.80283975,0.80299004,0.80305889,0.80313248,0.8032108 ,0.80329387,0.80338167,0.80347421,0.80356735,0.80357148,0.80367348,0.80378022,0.80389168,0.80398487,0.80400787,0.80412879,0.80422201,0.80425443,0.80438478,0.80445008,0.80459331,0.80466913,0.80476389,0.80481837,0.80494153,0.80501021,0.80508362,0.80516175,0.80524462,0.80533221,0.80542452,0.80552156,0.80562331,0.80572979,0.80584098,0.80591847,0.80605032,0.80607752,0.80620285,0.80629631,0.80638107,0.80645906,0.80662128,0.80671581,0.80674262,0.80684713,0.80696153,0.80711271,0.80719537,0.80728275,0.80737484,0.80747165,0.80757316,0.80767938,0.8077903 ,0.80790593,0.80799959,0.80811993]","[1.        ,0.99999864,0.99999673,0.99999428,0.99999128,0.99998774,0.99998365,0.99997902,0.99997385,0.99996813,0.99996186,0.99995505,0.9999477 ,0.9999398 ,0.99993135,0.99992236,0.99991283,0.99990275,0.99989213,0.99988097,0.99986926,0.999857  ,0.9998442 ,0.99983086,0.99981697,0.99980254,0.99978757,0.99977205,0.99975599,0.99973938,0.99972223,0.99970454,0.9996863 ,0.99966752,0.9996482 ,0.99962833,0.99960792,0.99958697,0.99956547,0.99954344,0.99952086,0.99949773,0.99947407,0.99944986,0.99942511,0.99939982,0.99937398,0.99934761,0.99932069,0.99929323,0.99926523,0.99923669,0.99920761,0.99917798,0.99914782,0.99911711,0.99908587,0.99905408,0.99902175,0.99898889,0.99895548,0.99892154,0.99888705,0.99885202,0.99881646,0.99878036,0.99874371,0.99870653,0.99866881,0.99863055,0.99859176,0.99855242,0.99851255,0.99847214,0.99843119,0.99838971,0.99834769,0.99830513,0.99826204,0.9982184 ,0.99817424,0.99812953,0.99808429,0.99803852,0.99799221,0.99794537,0.99789799,0.99785007,0.99780162,0.99775264,0.99770312,0.99765307,0.99760249,0.99755137,0.99749972,0.99744754,0.99739482,0.99734158,0.9972878 ,0.99723349,0.99717864,0.99712327,0.99706736,0.99701093,0.99695396,0.99689647,0.99683844,0.99677989,0.99672081,0.99666119,0.99660105,0.99654038,0.99647918,0.99641746,0.9963552 ,0.99629242,0.99622912,0.99616528,0.99610092,0.99603604,0.99597063,0.99590469,0.99583823,0.99577124,0.99570373,0.9956357 ,0.99556714,0.99549805,0.99542845,0.99535832,0.99528767,0.9952165 ,0.9951448 ,0.99507259,0.99499985,0.9949266 ,0.99485282,0.99477852,0.9947037 ,0.99462837,0.99455251,0.99447614,0.99439925,0.99432184,0.99424391,0.99416547,0.99408651,0.99400703,0.99392704,0.99384653,0.9937655 ,0.99368396,0.99360191,0.99351934,0.99343626,0.99335267,0.99326856,0.99318394,0.99309881,0.99301317,0.99292701,0.99284035,0.99275317,0.99266549,0.99257729,0.99248859,0.99239938,0.99230965,0.99221942,0.99212869,0.99203744,0.99194569,0.99185344,0.99176067,0.99166741,0.99157363,0.99147936,0.99138457,0.99128929,0.9911935 ,0.99109721,0.99100042,0.99090312,0.99080533,0.99070703,0.99060823,0.99050894,0.99040914,0.99030884,0.99020805,0.99010676,0.99000497,0.98990268,0.98979989,0.98969661,0.98959284,0.98948857,0.9893838 ,0.98927854,0.98917279,0.98906654,0.9889598 ,0.98885257,0.98874484,0.98863663,0.98852792,0.98841873,0.98830904,0.98819886,0.9880882 ,0.98797705,0.98786541,0.98775328,0.98764067,0.98752756,0.98741398,0.98729991,0.98718535,0.98707031,0.98695479,0.98683878,0.98672229,0.98660532,0.98648786,0.98636993,0.98625152,0.98613262,0.98601325,0.98589339,0.98577306,0.98565226,0.98553097,0.98540921,0.98528697,0.98516425,0.98504107,0.9849174 ,0.98479327,0.98466866,0.98454357,0.98441802]"
(1+1e-06j),0j,"[0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79558318,0.79557963,0.79557963,0.79557963,0.79557963,0.79557963,0.79557963,0.79557963,0.79557963,0.79557963,0.79557963,0.79567185,0.79567307,0.79567307,0.79567307,0.79567307,0.79567307,0.79567307,0.79576531,0.7957713 ,0.7957713 ,0.7957713 ,0.7957713 ,0.7957713 ,0.79586354,0.79586354,0.7958743 ,0.7958743 ,0.7958743 ,0.7958743 ,0.79596656,0.79596656,0.79598208,0.79598208,0.79598208,0.79607435,0.79607435,0.79609464,0.79609464,0.79609464,0.79618692,0.79618692,0.79621197,0.79621197,0.79621197,0.79630426,0.79630426,0.79633406,0.79633406,0.79633406,0.79642638,0.79642638,0.79646093,0.79646093,0.79655326,0.79655326,0.79659256,0.79660276,0.79661951,0.79664104,0.79675289,0.79678399,0.79681988,0.79677501,0.79686055,0.796906  ,0.79695624,0.79695624,0.79701125,0.79701125,0.79707105,0.79713562,0.79713562,0.79720497,0.79720497,0.7972791 ,0.7972791 ,0.797358  ,0.797358  ,0.79744167,0.79744167,0.79744167,0.79753012,0.79753012,0.79762334,0.79762334,0.79772132,0.79772132,0.7978138 ,0.79782408,0.79791656,0.79793159,0.79793159,0.79802409,0.79804387,0.79813639,0.79816092,0.79816092,0.79825344,0.79828272,0.79837526,0.79840927,0.79840927,0.79850183,0.79854318,0.79857182,0.79870529,0.79868637,0.79872694,0.79885803,0.79890814,0.79896303,0.79902267,0.79902267,0.79908709,0.79915627,0.79923022,0.79923022,0.79930893,0.7993924 ,0.7993924 ,0.79948063,0.79957362,0.79957362,0.79967136,0.79976406,0.79977386,0.79988112,0.79988112,0.79999313,0.79999313,0.80010988,0.80020263,0.80023139,0.80032415,0.80035764,0.80045042,0.80048863,0.80052413,0.8006577 ,0.80072436,0.8007241 ,0.80086006,0.8009148 ,0.80097431,0.80103856,0.80110758,0.80118134,0.80125986,0.80134313,0.80134313,0.80143114,0.80152391,0.80162142,0.80162142,0.80172367,0.80183066,0.80183066,0.8019424 ,0.80203536,0.80205887,0.80218008,0.80227307,0.80230602,0.80239903,0.80247644,0.80252394,0.80267661,0.8027621 ,0.80281197,0.80283975,0.80299004,0.80305889,0.80313248,0.8032108 ,0.80329387,0.80338167,0.80347421,0.80356735,0.80357148,0.80367348,0.80378022,0.80389168,0.80398487,0.80400787,0.80412879,0.80422201,0.80425443,0.80438478,0.80445008,0.80459331,0.80466913,0.80476389,0.80481837,0.80494153,0.80501021,0.80508362,0.80516175,0.80524462,0.80533221,0.80542452,0.80552156,0.80562331,0.80572979,0.80584098,0.8059344 ,0.80605032,0.80607752,0.80620285,0.80629631,0.80638107,0.80645906,0.80662128,0.80671581,0.80674262,0.80689302,0.80696153,0.80711271,0.80719537,0.80728275,0.80737484,0.80747165,0.80757316,0.80767938,0.8077903 ,0.80790593,0.80799959,0.80811993]","[1.        ,1.00592135,1.01187721,1.01786778,1.02389326,1.02995384,1.03604974,1.04218114,1.04834826,1.0545513 ,1.06079047,1.06706596,1.073378  ,1.07972679,1.08611254,1.09253546,1.09899576,1.10549366,1.11202938,1.11860312,1.12521512,1.13186558,1.13855473,1.14528279,1.15204997,1.15885652,1.16570264,1.17258857,1.17951453,1.18648076,1.19348747,1.20053492,1.20762332,1.21475291,1.22192394,1.22913662,1.23639121,1.24368794,1.25102705,1.25840879,1.26583339,1.27330111,1.28081219,1.28836688,1.29596542,1.30360807,1.31129508,1.3190267 ,1.32680318,1.3346248 ,1.34249179,1.35040442,1.35836295,1.36636764,1.37441876,1.38251657,1.39066133,1.39885332,1.40709281,1.41538006,1.42371535,1.43209895,1.44053114,1.44901219,1.45754238,1.466122  ,1.47475132,1.48343063,1.49216022,1.50094036,1.50977136,1.51865349,1.52758705,1.53657233,1.54560963,1.55469924,1.56384147,1.5730366 ,1.58228495,1.59158681,1.6009425 ,1.61035231,1.61981655,1.62933554,1.63890959,1.64853901,1.65822411,1.66796522,1.67776264,1.68761671,1.69752774,1.70749606,1.71752199,1.72760587,1.73774801,1.74794876,1.75820844,1.7685274 ,1.77890596,1.78934447,1.79984327,1.8104027 ,1.82102311,1.83170483,1.84244823,1.85325365,1.86412144,1.87505197,1.88604557,1.89710262,1.90822347,1.91940849,1.93065804,1.94197249,1.9533522 ,1.96479755,1.9763089 ,1.98788664,1.99953115,2.01124279,2.02302195,2.03486902,2.04678437,2.05876841,2.07082151,2.08294407,2.09513649,2.10739915,2.11973246,2.13213683,2.14461264,2.15716031,2.16978025,2.18247286,2.19523856,2.20807776,2.22099088,2.23397833,2.24704055,2.26017795,2.27339096,2.28668   ,2.30004552,2.31348793,2.32700769,2.34060521,2.35428096,2.36803537,2.38186888,2.39578195,2.40977502,2.42384855,2.43800299,2.4522388 ,2.46655645,2.48095639,2.49543909,2.51000502,2.52465466,2.53938847,2.55420693,2.56911053,2.58409973,2.59917504,2.61433693,2.62958589,2.64492242,2.66034702,2.67586017,2.69146239,2.70715417,2.72293603,2.73880847,2.754772  ,2.77082714,2.78697441,2.80321433,2.81954742,2.83597421,2.85249523,2.869111  ,2.88582208,2.90262899,2.91953228,2.93653249,2.95363018,2.97082588,2.98812015,3.00551356,3.02300666,3.04060001,3.05829419,3.07608975,3.09398728,3.11198735,3.13009053,3.14829742,3.16660859,3.18502464,3.20354615,3.22217372,3.24090796,3.25974946,3.27869883,3.29775667,3.3169236 ,3.33620024,3.35558721,3.37508512,3.3946946 ,3.41441628,3.4342508 ,3.45419879,3.4742609 ,3.49443776,3.51473002,3.53513833,3.55566335,3.57630574,3.59706616,3.61794527,3.63894374,3.66006225,3.68130147,3.70266208,3.72414477,3.74575022,3.76747913,3.7893322 ,3.81131011,3.83341358,3.85564332,3.87800003,3.90048442,3.92309723,3.94583917,3.96871097,3.99171336,4.01484708,4.03811287,4.06151146]"
(1+1e-07j),0j,"[0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79558318,0.79557963,0.79557963,0.79557963,0.79557963,0.79557963,0.79557963,0.79557963,0.79557963,0.79557963,0.79557963,0.79567185,0.79567307,0.79567307,0.79567307,0.79567307,0.79567307,0.79567307,0.79576531,0.7957713 ,0.7957713 ,0.7957713 ,0.7957713 ,0.7957713 ,0.79586354,0.79586354,0.7958743 ,0.7958743 ,0.7958743 ,0.7958743 ,0.79596656,0.79596656,0.79598208,0.79598208,0.79598208,0.79607435,0.79607435,0.79609464,0.79609464,0.79609464,0.79612649,0.79618692,0.79621197,0.79621197,0.79621197,0.79630426,0.79630426,0.79633406,0.79633406,0.79633406,0.79642638,0.79642638,0.79646093,0.79646093,0.79655326,0.79655326,0.79659256,0.79660276,0.79661951,0.79664104,0.79675289,0.79678399,0.79681988,0.79677501,0.79686055,0.796906  ,0.79695624,0.79695624,0.79701125,0.79701125,0.79707105,0.79713562,0.79713562,0.79720497,0.79720497,0.7972791 ,0.7972791 ,0.797358  ,0.797358  ,0.79744167,0.79744167,0.79744167,0.79753012,0.79753012,0.79762334,0.79762334,0.79772132,0.79772132,0.7978138 ,0.79782408,0.79791656,0.79793159,0.79793159,0.79802409,0.79804387,0.79813639,0.79816092,0.79816092,0.79825344,0.79828272,0.79837526,0.79840927,0.79840927,0.79850183,0.79854318,0.79857182,0.79870529,0.79868637,0.79872694,0.79885803,0.79890814,0.79896303,0.79902267,0.79902267,0.79908709,0.79915627,0.79923022,0.79923022,0.79930893,0.7993924 ,0.7993924 ,0.79948063,0.79957362,0.79957362,0.79967136,0.79976406,0.79977386,0.79988112,0.79988112,0.79999313,0.79999313,0.80010988,0.80020263,0.80023139,0.80032415,0.80035764,0.80045042,0.80048863,0.80052413,0.8006577 ,0.80072436,0.8007241 ,0.80086006,0.8009148 ,0.80097431,0.80103856,0.80110758,0.80118134,0.80125986,0.80134313,0.80134313,0.80143114,0.80152391,0.80162142,0.80162142,0.80172367,0.80183066,0.80183066,0.8019424 ,0.80203536,0.80205887,0.80218008,0.80227307,0.80230602,0.80239903,0.80245982,0.80252394,0.80267661,0.80275212,0.80281197,0.80283975,0.80296788,0.80305889,0.80313248,0.8032108 ,0.80329387,0.80338167,0.80347421,0.80356735,0.80357148,0.80367348,0.80378022,0.80389168,0.80398487,0.80400787,0.80412879,0.80422201,0.80425443,0.80438478,0.80445008,0.80459331,0.80466913,0.80476389,0.80481837,0.80494153,0.80501021,0.80508362,0.80516175,0.80524462,0.80533221,0.80542452,0.80552156,0.80562331,0.80572979,0.80584098,0.8059344 ,0.80605032,0.80607752,0.80620285,0.80629631,0.80638107,0.80645906,0.80662128,0.80671581,0.80674262,0.80689302,0.80696153,0.80711271,0.80719537,0.80728275,0.80737484,0.80747165,0.80757316,0.80767938,0.8077903 ,0.80790593,0.80799959,0.80811993]","[1.        ,1.00058934,1.00117847,1.00176741,1.00235615,1.00294469,1.00353303,1.00412117,1.0047091 ,1.00529683,1.00588435,1.00647168,1.00705879,1.0076457 ,1.0082324 ,1.00881889,1.00940518,1.00999126,1.01057712,1.01116278,1.01174822,1.01233345,1.01291847,1.01350328,1.01408787,1.01467224,1.0152564 ,1.01584034,1.01642407,1.01700758,1.01759087,1.01817394,1.01875679,1.01933942,1.01992183,1.02050401,1.02108598,1.02166771,1.02224923,1.02283052,1.02341159,1.02399242,1.02457304,1.02515342,1.02573358,1.0263135 ,1.0268932 ,1.02747267,1.0280519 ,1.02863091,1.02920968,1.02978822,1.03036653,1.0309446 ,1.03152243,1.03210003,1.0326774 ,1.03325453,1.03383142,1.03440807,1.03498448,1.03556065,1.03613659,1.03671228,1.03728773,1.03786294,1.0384379 ,1.03901263,1.03958711,1.04016134,1.04073533,1.04130907,1.04188257,1.04245582,1.04302882,1.04360157,1.04417408,1.04474633,1.04531834,1.04589009,1.04646159,1.04703285,1.04760384,1.04817459,1.04874508,1.04931532,1.0498853 ,1.05045502,1.05102449,1.05159371,1.05216266,1.05273136,1.0532998 ,1.05386798,1.0544359 ,1.05500356,1.05557096,1.0561381 ,1.05670498,1.05727159,1.05783794,1.05840403,1.05896985,1.05953541,1.06010071,1.06066573,1.06123049,1.06179499,1.06235922,1.06292317,1.06348686,1.06405029,1.06461344,1.06517632,1.06573893,1.06630127,1.06686334,1.06742513,1.06798665,1.0685479 ,1.06910888,1.06966958,1.07023001,1.07079016,1.07135003,1.07190963,1.07246895,1.073028  ,1.07358676,1.07414525,1.07470346,1.07526139,1.07581904,1.07637641,1.0769335 ,1.07749031,1.07804683,1.07860308,1.07915904,1.07971472,1.08027011,1.08082522,1.08138005,1.08193459,1.08248884,1.08304281,1.08359649,1.08414989,1.08470299,1.08525581,1.08580834,1.08636059,1.08691254,1.0874642 ,1.08801558,1.08856666,1.08911745,1.08966796,1.09021817,1.09076808,1.09131771,1.09186704,1.09241608,1.09296482,1.09351327,1.09406143,1.09460929,1.09515685,1.09570412,1.09625109,1.09679777,1.09734414,1.09789022,1.09843601,1.09898149,1.09952668,1.10007156,1.10061615,1.10116044,1.10170443,1.10224811,1.1027915 ,1.10333458,1.10387736,1.10441984,1.10496202,1.1055039 ,1.10604547,1.10658674,1.1071277 ,1.10766836,1.10820872,1.10874877,1.10928851,1.10982795,1.11036709,1.11090591,1.11144443,1.11198265,1.11252055,1.11305815,1.11359544,1.11413242,1.1146691 ,1.11520546,1.11574152,1.11627726,1.1168127 ,1.11734783,1.11788264,1.11841715,1.11895134,1.11948522,1.12001879,1.12055205,1.121085  ,1.12161763,1.12214995,1.12268196,1.12321365,1.12374503,1.1242761 ,1.12480685,1.12533729,1.12586741,1.12639722,1.12692671,1.12745589,1.12798475,1.1285133 ,1.12904153,1.12956944,1.13009703,1.13062431,1.13115127,1.13167792,1.13220424,1.13273025,1.13325594,1.13378131,1.13430636]"
(1+1e-08j),0j,"[0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79549096,0.79558318,0.79557963,0.79557963,0.79557963,0.79557963,0.79557963,0.79557963,0.79557963,0.79557963,0.79557963,0.79557963,0.79567185,0.79567307,0.79567307,0.79567307,0.79567307,0.79567307,0.79567307,0.79576531,0.7957713 ,0.7957713 ,0.7957713 ,0.7957713 ,0.7957713 ,0.79586354,0.79586354,0.7958743 ,0.7958743 ,0.7958743 ,0.7958743 ,0.79596656,0.79596656,0.79598208,0.79598208,0.79598208,0.79607435,0.79607435,0.79609464,0.79609464,0.79609464,0.79618692,0.79618692,0.7961376 ,0.79621197,0.79621197,0.79630426,0.79630426,0.79633406,0.79633406,0.79633406,0.79642638,0.79642638,0.79646093,0.79646093,0.79655326,0.79655326,0.79659256,0.79660276,0.79661951,0.79664104,0.79675289,0.79678399,0.79681988,0.79677501,0.79686055,0.796906  ,0.79695624,0.79695624,0.79701125,0.79701125,0.79707105,0.79713562,0.79713562,0.79720497,0.79720497,0.7972791 ,0.7972791 ,0.797358  ,0.797358  ,0.79744167,0.79744167,0.79744167,0.79753012,0.79753012,0.79762334,0.79762334,0.79772132,0.79772132,0.7978138 ,0.79782408,0.79791656,0.79793159,0.79793159,0.79802409,0.79804387,0.79813639,0.79816092,0.79816092,0.79825344,0.79828272,0.79837526,0.79840927,0.79840927,0.79850183,0.79854318,0.79857182,0.79870529,0.79868637,0.79872694,0.79885803,0.79890814,0.79896303,0.79902267,0.79902267,0.79908709,0.79915627,0.79923022,0.79923022,0.79930893,0.7993924 ,0.7993924 ,0.79948063,0.79957362,0.79957362,0.79967136,0.79976406,0.79977386,0.79988112,0.79988112,0.79999313,0.79999313,0.80010988,0.80020263,0.80023139,0.80032415,0.80035764,0.80045042,0.80048863,0.80052413,0.8006577 ,0.80072436,0.8007241 ,0.80086006,0.8009148 ,0.80097431,0.80103856,0.80110758,0.80118134,0.80125986,0.80134313,0.80134313,0.80143114,0.80152391,0.80162142,0.80162142,0.80172367,0.80183066,0.80183066,0.8019424 ,0.80203536,0.80205887,0.80218008,0.80227307,0.80230602,0.80239903,0.80245982,0.80252394,0.80267661,0.8027621 ,0.80281197,0.80283975,0.80299004,0.80305889,0.80313248,0.8032108 ,0.80329387,0.80338167,0.80347421,0.80356735,0.80357148,0.80367348,0.80378022,0.80389168,0.80398487,0.80400787,0.80412879,0.80422201,0.80425443,0.80438478,0.80445008,0.80459331,0.80466913,0.80476389,0.80481837,0.80494153,0.80501021,0.80508362,0.80516175,0.80524462,0.80533221,0.80542452,0.80552156,0.80562331,0.80572979,0.80584098,0.8059344 ,0.80605032,0.80607752,0.80620285,0.80629631,0.80638107,0.80645906,0.80662128,0.80671581,0.80674262,0.80689302,0.80696153,0.80711271,0.80719537,0.80728275,0.80737484,0.80747165,0.80757316,0.80767938,0.8077903 ,0.80790593,0.80799959,0.80811993]","[1.        ,1.00005769,1.00011484,1.00017145,1.00022752,1.00028304,1.00033803,1.00039247,1.00044637,1.00049972,1.00055254,1.00060481,1.00065654,1.00070773,1.00075837,1.00080848,1.00085804,1.00090705,1.00095553,1.00100346,1.00105085,1.0010977 ,1.001144  ,1.00118976,1.00123498,1.00127965,1.00132378,1.00136737,1.00141042,1.00145292,1.00149488,1.0015363 ,1.00157717,1.0016175 ,1.00165729,1.00169654,1.00173524,1.0017734 ,1.00181101,1.00184809,1.00188461,1.0019206 ,1.00195604,1.00199094,1.0020253 ,1.00205912,1.00209239,1.00212512,1.0021573 ,1.00218895,1.00222005,1.0022506 ,1.00228062,1.00231009,1.00233902,1.00236741,1.00239525,1.00242256,1.00244932,1.00247553,1.00250121,1.00252634,1.00255093,1.00257498,1.00259849,1.00262145,1.00264388,1.00266576,1.0026871 ,1.0027079 ,1.00272815,1.00274787,1.00276704,1.00278568,1.00280377,1.00282132,1.00283833,1.0028548 ,1.00287073,1.00288612,1.00290097,1.00291528,1.00292904,1.00294227,1.00295496,1.00296711,1.00297872,1.00298978,1.00300031,1.0030103 ,1.00301976,1.00302867,1.00303704,1.00304488,1.00305217,1.00305893,1.00306515,1.00307083,1.00307598,1.00308058,1.00308465,1.00308818,1.00309118,1.00309364,1.00309556,1.00309694,1.00309779,1.0030981 ,1.00309787,1.00309711,1.00309582,1.00309399,1.00309162,1.00308872,1.00308528,1.00308131,1.0030768 ,1.00307176,1.00306619,1.00306008,1.00305344,1.00304626,1.00303855,1.00303031,1.00302154,1.00301223,1.00300239,1.00299202,1.00298112,1.00296969,1.00295772,1.00294523,1.0029322 ,1.00291864,1.00290455,1.00288994,1.00287479,1.00285911,1.00284291,1.00282617,1.00280891,1.00279112,1.0027728 ,1.00275395,1.00273457,1.00271467,1.00269424,1.00267328,1.0026518 ,1.00262979,1.00260725,1.00258419,1.00256061,1.0025365 ,1.00251186,1.0024867 ,1.00246102,1.00243481,1.00240808,1.00238082,1.00235304,1.00232475,1.00229592,1.00226658,1.00223671,1.00220633,1.00217542,1.00214399,1.00211204,1.00207958,1.00204659,1.00201308,1.00197906,1.00194451,1.00190945,1.00187387,1.00183777,1.00180116,1.00176403,1.00172638,1.00168822,1.00164954,1.00161034,1.00157063,1.00153041,1.00148967,1.00144842,1.00140666,1.00136438,1.00132159,1.00127828,1.00123447,1.00119014,1.0011453 ,1.00109996,1.0010541 ,1.00100773,1.00096085,1.00091346,1.00086557,1.00081716,1.00076825,1.00071883,1.00066891,1.00061847,1.00056753,1.00051609,1.00046414,1.00041168,1.00035872,1.00030526,1.00025129,1.00019682,1.00014184,1.00008637,1.00003039,0.99997391,0.99991693,0.99985945,0.99980147,0.99974298,0.999684  ,0.99962452,0.99956455,0.99950407,0.9994431 ,0.99938163,0.99931966,0.9992572 ,0.99919424,0.99913078,0.99906683,0.99900239,0.99893745,0.99887202,0.9988061 ,0.99873969,0.99867278,0.99860538,0.99853749,0.99846911]"
